1, Katowice, Bogucice, Forest Edge
2, Lodz, Widzew, Vivaldi Estate
3, Warsaw, Bielany, Cedar Crest
4, Krakow, Kazimierz, Amber Gardens
5, Lodz, Polesie, Sunrise Springs
6, Katowice, Brynow, Whitewater Pointe
7, Szczecin, Prawobrzeze, Rosewood Park
8, Gdynia, Chwarzno-Wiczlino, Oakwood Oaks
9, Bydgoszcz, Blonie, Brookside Manor
10, Katowice, Zawodzie, Whispering Pines
11, Poznan, Stare Miasto, Rosewood Park
12, Krakow, Podgorze, Summit Heights
13, Lodz, Gorna, Whispering Pines
14, Warsaw, Bielany, Forest Edge
15, Warsaw, Ursynow, Oakwood Oaks
16, Wroclaw, Krzyki, Vivaldi Estate
17, Szczecin, Prawobrzeze, Lakeview Gardens
18, Poznan, Nowe Miasto, Lakeview Gardens
19, Bydgoszcz, Blonie, Whitewater Pointe
20, Katowice, Brynow, Oakwood Oaks
21, Wroclaw, Fabryczna, Golden Gate Apartments
22, Gdynia, Wzgorze sw. Maksymiliana, Valley View
23, Warsaw, Wola, Bayside Manor
24, Szczecin, Zachod, Green Meadows
25, Krakow, Nowa Huta, Sunset Heights
26, Gdansk, Glowny, Maplewood Terrace
27, Katowice, Zawodzie, Lakeside Living
28, Szczecin, Prawobrzeze, Marina Bay
29, Gdynia, Chwarzno-Wiczlino, Garden Grove
30, Gdansk, Glowny, Sunset Heights
31, Katowice, Zawodzie, Sunset Heights
32, Krakow, Kazimierz, Highland Hills
33, Wroclaw, Fabryczna, Hillcrest Heights
34, Katowice, Bogucice, Green Meadows
35, Bydgoszcz, Stare Miasto, Sunrise Springs
36, Gdansk, Glowny, Lakeview Gardens
37, Warsaw, Praga, Aspen Meadows
38, Wroclaw, Krzyki, Maplewood Terrace
39, Lodz, Baluty, Golden Gate Apartments
40, Krakow, Old Town, Green Meadows
41, Gdansk, Wrzeszcz, Brookside Manor
42, Wroclaw, Psie Pole, Canyon Creek
43, Poznan, Stare Miasto, Vivaldi Estate
44, Gdansk, Oliwa, Peachtree Place
45, Warsaw, Mokotow, Sunset Heights
46, Warsaw, Praga, Aspen Meadows
47, Bydgoszcz, Szwederowo, Highland Hills
48, Bydgoszcz, Fordon, Hilltop Haven
49, Bydgoszcz, Wzgorze Wolnosci, Forest Edge
50, Wroclaw, Krzyki, Golden Gate Apartments
51, Wroclaw, Stare Miasto, Ocean Breeze
52, Wroclaw, Fabryczna, Aspen Meadows
53, Lodz, Baluty, Brookside Manor
54, Lodz, srodmiescie, Amber Gardens
55, Warsaw, Mokotow, Meadowbrook Meadows
56, Gdansk, Glowny, Whispering Pines
57, Gdynia, Wzgorze sw. Maksymiliana, Marina Bay
58, Gdynia, Wzgorze sw. Maksymiliana, Pinecrest Ridge
59, Szczecin, Zachod, Whitewater Pointe
60, Bydgoszcz, Blonie, Sunnydale Villas
61, Krakow, Podgorze, Misty Ridge
62, Gdansk, Sopot, Whispering Pines
63, Szczecin, srodmiescie, Vivaldi Estate
64, Gdansk, Glowny, Green Meadows
65, Wroclaw, Krzyki, Forest Edge
66, Warsaw, Praga, Marina Bay
67, Warsaw, Mokotow, Golden Gate Apartments
68, Gdansk, Wrzeszcz, Garden Grove
69, Poznan, Wilda, Willow Creek
70, Warsaw, Praga, Highland Hills
71, Gdansk, Wrzeszcz, Hilltop Haven
72, Szczecin, swieta, Pinecrest Ridge
73, Katowice, Zawodzie, Canyon Creek
74, Lodz, srodmiescie, Forest Edge
75, Wroclaw, Fabryczna, Palm Paradise
76, Lodz, Baluty, Vivaldi Estate
77, Katowice, Dab, Forest Edge
78, Gdynia, Orlowo, Valley View
79, Katowice, Bogucice, Ocean Breeze
80, Poznan, Grunwald, Cedar Crest
81, Wroclaw, Psie Pole, Sunrise Springs
82, Warsaw, Praga, Green Meadows
83, Lodz, Widzew, Palm Paradise
84, Szczecin, srodmiescie, Bayside Manor
85, Bydgoszcz, Blonie, Lakeview Gardens
86, Warsaw, Wola, Rosewood Park
87, Poznan, Nowe Miasto, Lakeview Gardens
88, Bydgoszcz, Wzgorze Wolnosci, Bayside Manor
89, Wroclaw, Biskupin, Hillcrest Heights
90, Gdynia, Wzgorze sw. Maksymiliana, Valley View
91, Wroclaw, Fabryczna, Willow Creek
92, Poznan, Nowe Miasto, Misty Ridge
93, Katowice, Zawodzie, Cedar Crest
94, Gdynia, Wzgorze sw. Maksymiliana, Sunnydale Villas
95, Lodz, Gorna, Cedar Crest
96, Bydgoszcz, Fordon, Willow Creek
97, Poznan, Wilda, Marina Bay
98, Warsaw, Bielany, Sunset Heights
99, Gdynia, Chwarzno-Wiczlino, Whitewater Pointe
100, Warsaw, Mokotow, Valley View
101, Katowice, Brynow, Sunnydale Villas
102, Lodz, Baluty, Rosewood Park
103, Wroclaw, Biskupin, Peachtree Place
104, Wroclaw, Stare Miasto, Valley View
105, Katowice, Dab, Serenity Springs
106, Szczecin, Prawobrzeze, Sunnydale Villas
107, Wroclaw, Psie Pole, Garden Grove
108, Poznan, Nowe Miasto, Meadowbrook Meadows
109, Bydgoszcz, Blonie, Garden Grove
110, Poznan, Wilda, Ocean Breeze
111, Warsaw, Ursynow, Whitewater Pointe
112, Lodz, srodmiescie, Lakeside Living
113, Wroclaw, Stare Miasto, Rosewood Park
114, Bydgoszcz, Blonie, Bayside Manor
115, Gdynia, Wzgorze sw. Maksymiliana, Riverside Village
116, Poznan, Grunwald, Vivaldi Estate
