60001, Wesola, 62, flat, between 2011-2020, 194, SilverStone Constructions, 8, 1, 34
60002, Kolobrzeska, 62, twin, between 1900-1950, 143, SilverStone Constructions, 1, 1, 190
60003, Piastowska, 54, house, between 2021-2024, 26, SilverStone Constructions, 10, 10, 167
60004, Reymonta, 98, flat, between 2001-2010, 199, GreenField Group, 2, 2, 129
60005, Kwiatowa, 70, house, between 2001-2010, 41, GreenField Group, 3, 2, 264
60006, Mickiewicza, 43, twin, between 2001-2010, 45, BlueSky Developers, 1, 1, 224
60007, Polna, 68, flat, between 1900-1950, 197, SilverStone Constructions, 1, 1, 6
60008, Kwiatowa, 61, flat, between 2021-2024, 158, GoldenGate Builders, 6, 4, 5
60009, Kwiatowa, 67, apartment, between 2021-2024, 156, GreenField Group, 4, 3, 106
60010, lakowa, 58, flat, between 2021-2024, 57, SilverStone Constructions, 8, 4, 170
60011, Koscielna, 70, apartment, between 1951-1980, 41, BlueSky Developers, 7, 6, 181
60012, Krotka, 96, house, between 2021-2024, 160, BlueSky Developers, 3, 1, 67
60013, Chopina, 51, twin, between 2021-2024, 22, GoldenGate Builders, 2, 2, 265
60014, Mickiewicza, 97, house, between 2001-2010, 129, SilverStone Constructions, 5, 3, 100
60015, Mickiewicza, 60, flat, between 1900-1950, 28, GoldenGate Builders, 1, 1, 76
60016, Piastowska, 57, apartment, between 1981-2000, 83, GreenField Group, 1, 1, 111
60017, Kolobrzeska, 31, apartment, between 1951-1980, 117, GoldenGate Builders, 6, 2, 187
60018, Zielona, 30, apartment, between 2001-2010, 78, BlueSky Developers, 3, 1, 113
60019, Sienkiewicza, 23, apartment, between 1951-1980, 130, GoldenGate Builders, 5, 4, 2
60020, Spacerowa, 98, twin, between 2011-2020, 116, GoldenGate Builders, 2, 2, 261
60021, Slowackiego, 71, house, between 2001-2010, 63, GreenField Group, 6, 3, 204
60022, Mickiewicza, 23, twin, between 2001-2010, 172, GoldenGate Builders, 2, 1, 83
60023, Spacerowa, 85, twin, between 2021-2024, 65, GoldenGate Builders, 2, 2, 166
60024, Polna, 88, flat, between 1951-1980, 185, SilverStone Constructions, 10, 9, 221
60025, Wiosenna, 53, twin, between 2011-2020, 150, GreenField Group, 2, 2, 242
60026, Piastowska, 85, flat, between 1951-1980, 64, SilverStone Constructions, 10, 6, 44
60027, Chopina, 97, twin, between 1981-2000, 60, SilverStone Constructions, 1, 1, 169
60028, Kwiatowa, 42, flat, between 1900-1950, 116, SilverStone Constructions, 3, 3, 16
60029, Sportowa, 25, flat, between 1900-1950, 56, GoldenGate Builders, 3, 3, 225
60030, Chopina, 27, house, between 1981-2000, 168, BlueSky Developers, 8, 8, 124
60031, Mickiewicza, 59, twin, between 2011-2020, 22, GreenField Group, 1, 1, 269
60032, Piekna, 57, flat, between 2021-2024, 57, SilverStone Constructions, 8, 7, 141
60033, 3 Maja, 70, house, between 2001-2010, 17, SilverStone Constructions, 1, 1, 216
60034, Mickiewicza, 81, house, between 2001-2010, 43, GreenField Group, 1, 1, 21
60035, Mickiewicza, 70, house, between 1900-1950, 62, GoldenGate Builders, 8, 3, 177
60036, Sienkiewicza, 27, twin, between 1951-1980, 31, SilverStone Constructions, 2, 2, 80
60037, Slowackiego, 64, apartment, between 2021-2024, 96, SilverStone Constructions, 2, 2, 4
60038, Aleja Lipowa, 25, twin, between 2021-2024, 92, GoldenGate Builders, 2, 1, 86
60039, Chopina, 77, twin, between 2001-2010, 31, GoldenGate Builders, 1, 1, 107
60040, Krotka, 24, house, between 2021-2024, 106, GreenField Group, 3, 3, 76
60041, Mickiewicza, 50, house, between 2001-2010, 32, BlueSky Developers, 5, 4, 213
60042, Piekna, 60, apartment, between 1951-1980, 168, BlueSky Developers, 4, 4, 76
60043, Kwiatowa, 98, apartment, between 1951-1980, 97, SilverStone Constructions, 2, 1, 165
60044, Krucza, 24, twin, between 1981-2000, 13, GoldenGate Builders, 1, 1, 155
60045, Jagiellonska, 70, apartment, between 1981-2000, 81, GreenField Group, 10, 7, 98
60046, Jagiellonska, 21, apartment, between 2011-2020, 126, GreenField Group, 7, 4, 51
60047, Akacjowa, 66, flat, between 2001-2010, 188, GreenField Group, 5, 4, 249
60048, Krotka, 49, twin, between 1981-2000, 34, SilverStone Constructions, 2, 2, 67
60049, Krucza, 52, apartment, between 1900-1950, 42, SilverStone Constructions, 5, 2, 201
60050, Kwiatowa, 94, house, between 1900-1950, 185, GoldenGate Builders, 9, 1, 86
60051, Kwiatowa, 61, flat, between 2011-2020, 82, GoldenGate Builders, 6, 2, 243
60052, Sportowa, 80, house, between 2021-2024, 55, BlueSky Developers, 5, 1, 10
60053, Wspolna, 36, flat, between 2001-2010, 66, BlueSky Developers, 4, 1, 5
